epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3995.21,1.08319,0.44794,0.00156,0.91522,0.73964,0.80417,0.60488,1.15157,0.58168,0.00229,0.00333063,0.00333063,0.00333063
2,7838.61,1.20335,0.56312,0.00192,0.59692,0.43617,0.47115,0.3132,1.45188,1.44613,0.00457,0.00664198,0.00664198,0.00664198
3,11710.9,1.36011,0.77003,0.00263,0.81374,0.62775,0.68323,0.46335,1.3424,0.83862,0.00331,0.00993132,0.00993132,0.00993132
4,15609.3,1.42234,0.84928,0.00261,0.8567,0.69069,0.74588,0.527,1.17948,0.64725,0.00276,0.009901,0.009901,0.009901
5,19516,1.35418,0.77751,0.00259,0.84373,0.70499,0.74893,0.53588,1.12461,0.5785,0.0026,0.009868,0.009868,0.009868
6,23853.8,1.33731,0.74975,0.00242,0.89671,0.71958,0.78667,0.57576,1.08238,0.50129,0.00239,0.009835,0.009835,0.009835
7,28199.9,1.34006,0.72977,0.00232,0.89525,0.73865,0.79744,0.59586,1.05974,0.4871,0.00228,0.009802,0.009802,0.009802
8,32140.3,1.339,0.72176,0.00242,0.89795,0.75168,0.80286,0.60564,1.04116,0.4821,0.00219,0.009769,0.009769,0.009769
9,36091.7,1.30663,0.68644,0.00233,0.91,0.74748,0.80799,0.611,1.03194,0.46598,0.00215,0.009736,0.009736,0.009736
10,40027.2,1.31018,0.68774,0.00232,0.89625,0.76101,0.80699,0.61341,1.0254,0.45245,0.00211,0.009703,0.009703,0.009703
11,43975,1.30835,0.68791,0.00232,0.91533,0.76071,0.81315,0.62144,1.0149,0.45373,0.00206,0.00967,0.00967,0.00967
12,47913.7,1.30784,0.67419,0.00219,0.91279,0.76189,0.8126,0.61939,1.01363,0.44792,0.00204,0.009637,0.009637,0.009637
13,51849.4,1.30335,0.67984,0.00235,0.91546,0.76486,0.81642,0.62394,1.00917,0.44521,0.00203,0.009604,0.009604,0.009604
14,55783.9,1.30133,0.68447,0.0023,0.92067,0.76274,0.81583,0.62501,1.00618,0.44348,0.00202,0.009571,0.009571,0.009571
15,59706.6,1.2938,0.66683,0.00223,0.90981,0.77167,0.81706,0.62656,1.00615,0.44044,0.00202,0.009538,0.009538,0.009538
16,63637.9,1.29171,0.67038,0.00224,0.91404,0.76763,0.81839,0.62797,1.00422,0.43932,0.00201,0.009505,0.009505,0.009505
17,67560.8,1.29072,0.65498,0.00228,0.9158,0.76777,0.81826,0.62762,1.00283,0.43976,0.00201,0.009472,0.009472,0.009472
